Key_Finance;Date;SKU;Taxe_Statut;Onsale_Web;Price;Purchase_Price
2022-10_14692;2022-10-01;14692;taxable;1;21,7;10,65
2022-10_15328;2022-10-01;15328;taxable;1;55;29,55
2022-10_16515;2022-10-01;16515;taxable;1;12,1;6,5
2022-10_16585;2022-10-01;16585;taxable;1;9,7;4,81
2022-10_12869;2022-10-01;12869;taxable;1;18,25;8,96
2022-10_15575;2022-10-01;15575;taxable;1;9,1;4,84
2022-10_14338;2022-10-01;14338;taxable;1;5,7;3,03
2022-10_16560;2022-10-01;16560;taxable;1;11,9;6,21
2022-10_15361;2022-10-01;15361;taxable;1;13,3;7,22
2022-10_15022;2022-10-01;15022;taxable;1;19,5;9,67
2022-10_16342;2022-10-01;16342;taxable;1;6,5;3,19
2022-10_16029;2022-10-01;16029;taxable;1;12,7;6,36
2022-10_13754;2022-10-01;13754;taxable;1;29,5;15,85
2022-10_14680;2022-10-01;14680;taxable;1;26,5;13,01
2022-10_9636;2022-10-01;9636;taxable;1;62;28,42
2022-10_13849;2022-10-01;13849;taxable;1;19,5;12,07
2022-10_15481;2022-10-01;15481;taxable;1;26,5;13,01
2022-10_15448;2022-10-01;15448;taxable;1;10,1;4,96
2022-10_15441;2022-10-01;15441;taxable;1;10,8;5,58
2022-10_804;2022-10-01;804;taxable;1;52,4;27,61
2022-10_16071;2022-10-01;16071;taxable;1;32,8;16,95
2022-10_12882;2022-10-01;12882;taxable;1;17,7;9,42
2022-10_16053;2022-10-01;16053;taxable;1;20,2;10,65
2022-10_13766;2022-10-01;13766;taxable;1;59,8;27,96
2022-10_12640;2022-10-01;12640;taxable;1;59;28,12
2022-10_15476;2022-10-01;15476;taxable;1;43,9;22,91
2022-10_16038;2022-10-01;16038;taxable;1;17;8,78
2022-10_14864;2022-10-01;14864;taxable;1;14,9;7,78
2022-10_16044;2022-10-01;16044;taxable;1;22,8;11,78
2022-10_15324;2022-10-01;15324;taxable;1;26,7;13,8
2022-10_15413;2022-10-01;15413;taxable;1;23;11,65
2022-10_13809;2022-10-01;13809;taxable;1;17,3;8,76
2022-10_15895;2022-10-01;15895;taxable;1;17,2;8,8
2022-10_15849;2022-10-01;15849;taxable;1;16,5;8,53
