Key_Sales;Sales;Orders;Stock
2022-10_15325;20;162;142
2022-11_15325;39;;103
2022-12_15325;45;;58
2023-1_15325;11;48;95
2023-2_15325;10;;85
2023-3_15325;11;;74
2023-4_15325;16;60;117
2023-5_15325;19;;98
2023-6_15325;24;;74
2023-7_15325;27;90;139
2023-8_15325;22;;117
2023-9_15325;34;;83
2023-10_15325;28;162;217
2022-10_15328;2;18;2
2022-11_15328;4;;19
2022-12_15328;5;;14
2023-1_15328;1;6;13
2023-2_15328;1;;12
2023-3_15328;1;;17
2023-4_15328;2;12;15
2023-5_15328;2;;13
2023-6_15328;3;;23
2023-7_15328;3;12;20
2023-8_15328;2;;18
2023-9_15328;3;;15
2023-10_15328;2;18;13
2022-10_15329;3;18;20
2022-11_15329;6;;14
2022-12_15329;7;;7
2023-1_15329;2;12;13
2023-2_15329;2;;11
2023-3_15329;2;;9
2023-4_15329;2;12;15
2023-5_15329;3;;12
2023-6_15329;4;;8
2023-7_15329;4;12;16
2023-8_15329;4;;12
2023-9_15329;5;;7
2023-10_15329;4;18;26
2022-10_15530;6;;10
2022-11_15530;12;60;61
2022-12_15530;14;;47
2023-1_15530;4;;43
2023-2_15530;3;18;40
2023-3_15530;3;;54
2023-4_15530;5;;49
2023-5_15530;6;;43
2023-6_15530;8;36;73
2023-7_15530;8;;65
2023-8_15530;7;;58
2023-9_15530;10;42;48
2023-10_15530;7;;41
2022-10_15531;5;;5
2022-11_15531;10;30;25
2022-12_15531;11;;14
2023-1_15531;3;;11
2023-2_15531;3;12;22
2023-3_15531;3;;19
2023-4_15531;4;;15
2023-5_15531;5;18;26
2023-6_15531;7;;19
2023-7_15531;7;;12
2023-8_15531;6;18;28
2023-9_15531;8;;20
2023-10_15531;6;;14
2022-10_15533;9;;6
2022-11_15533;15;60;51
2022-12_15533;19;;32
2023-1_15533;5;;27
2023-2_15533;4;18;39
2023-3_15533;4;;35
2023-4_15533;6;;29
2023-5_15533;8;30;52
2023-6_15533;10;;42
2023-7_15533;11;;31
2023-8_15533;9;30;55
2023-9_15533;13;;42
2023-10_15533;10;;32
2022-10_14855;12;;16
2022-11_14855;22;54;48
2022-12_14855;26;;22
2023-1_14855;6;;16
2023-2_14855;6;18;28
2023-3_14855;6;;22
2023-4_14855;9;;13
2023-5_14855;10;42;45
2023-6_14855;15;;30
2023-7_14855;16;;14
2023-8_14855;12;48;50
2023-9_14855;20;;30
2023-10_14855;14;;16
2022-10_14856;8;;9
2022-11_14856;15;60;54
