SKU;Virtuals;Downloadable;Rating_count;Average_rating;Post_author;Post_date;Post_date_gmt;Product_type;Segment;Post_title;Post_excerpt;Contenance;Post_status;Comment_status;Ping_status;Post_name;Post_modified;Post_modified_gmt;Post_parent;Guid;Post_type;Comment_count
38;0;0;8;3,4;2;18-04-2022;18-04-2022;Vin;Vin;Emile Boeckel Crémant Brut Blanc de Blancs;Ce Crémant est vif et délicat, gourmand et croquant avec une bulle dynamique. Un excellent rapport qualité-prix.;75cl;publish;closed;closed;emile-boeckel-cremant-brut-blanc-de-blancs;27-08-2022;27-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=38;product;8
41;0;0;1;4,4;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Marc de Gewurztraminer;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-marc-de-gewurztraminer;03-08-2022;03-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=41;product;1
304;0;0;0;;2;13-02-2021;13-02-2021;Champagne;Spiritueux;Champagne Gosset Grande Réserve;Le nez, ouvert et expressif, évoque les fruits rouges mûrs (cassis), le froment, les fruits secs, le pain d’épice, la confiture de vieux garçon...La bouche est dominée par une tension minérale rafraîchissante associée à un goût chaleureux et consistant faisant écho à la richesse et au charnu du vin. Sous une expression dense de fruits mûrs et secs, apparaît en filigrane une fraîcheur discrète. Une ossature subtile et racée, signature des champagnes Gosset.;75cl;publish;closed;closed;gosset-champagne-grande-reserve;27-08-2023;27-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=304;product;0
523;0;0;3;3,7;2;06-04-2020;06-04-2020;Cognac;Spiritueux;Cognac Normandin Mercier VFC;Issus des meilleurs crus de Grande et de Petite Champagne, ces cognacs sont sélectionnés avec la plus grande exigence, puis élevés dans les chais traditionnels aux portes de La Rochelle. Vieille Fine Champagne, douce et équilibrée avec un agréable bouquet floral.;70cl;publish;closed;closed;cognac-normandin-mercier-vfc;12-08-2022;12-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=523;product;3
531;0;0;5;3,2;2;18-07-2021;18-07-2021;Champagne;Spiritueux;Champagne Petit Lebrun &amp Fils Blanc de Blancs Grand Cru;Cuvée bien équilibrée à la fois vive et souple, l'attaque en bouche est franche, droite. La bouche est légère, complexe et consistante, alliant souplesse et vigueur. La finale est rémanente, longue. L'ensemble de la dégustation laisse des impressions de fraîcheur, de gras.;75cl;publish;closed;closed;champagne-petit-lebrun-fils-blanc-de-blancs-grand-cru;27-08-2023;27-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=531;product;5
791;0;0;0;;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Baie de Houx;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-baie-de-houx;21-04-2022;21-04-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=791;product;0
793;0;0;0;;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Coing;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-coing;23-12-2021;23-12-2021;0;https://www.bottle-neck.fr/?post_type=product&#038:p=793;product;0
798;0;0;0;;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Kirsch d'Alsace Réserve Particulière;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-kirsch-dalsace-reserve-particuliere;23-07-2022;23-07-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=798;product;0
802;0;0;0;;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Marc de Muscat;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-marc-de-muscat;09-02-2021;09-02-2021;0;https://www.bottle-neck.fr/?post_type=product&#038:p=802;product;0
804;0;0;2;3,2;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-mirabelle-dalsace-reserve-particuliere;23-07-2022;23-07-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=804;product;2
805;0;0;0;;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-poire-williams-reserve-particuliere;15-08-2022;15-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=805;product;0
807;0;0;2;3,3;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Prunelle Sauvage;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-sureau-copie;21-08-2022;21-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=807;product;2
812;0;0;1;3,4;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Sureau;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-sureau;21-12-2022;21-12-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=812;product;1
1360;0;0;0;;2;13-02-2021;13-02-2021;Champagne;Spiritueux;Champagne Mailly Grand Cru Brut Réserve;Un oeil jaune d’or iridescent, un nez épanoui et fruité, une bouche franche, un vrai sourire. Les bulles exaltent ce vin jeune et fougueux, toujours sensuel, par des notes fruitées, amples et profondes. Les parfums d’un pain légèrement toasté, agrémenté de beurre frais, animent les papilles et les conversations.;75cl;publish;closed;closed;champagne-mailly-gc-brut-reserve;26-08-2023;26-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=1360;product;0
1364;0;0;0;;2;13-02-2021;13-02-2021;Champagne;Spiritueux;Champagne Mailly Grand Cru Brut Rosé;Une somptueuse robe rose lumineuse habille cette bouteille transparente. Immédiatement la finesse des fruits rouges, groseilles, framboises et fraises embaument votre nez et tapissent le palais. Une bouche charpentée, ample, au charme suave de pétales de rose complète votre plaisir.;75cl;publish;closed;closed;champagne-mailly-grand-cru-brut-rose;08-08-2023;08-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=1364;product;0
1366;0;0;2;4,1;2;13-02-2021;13-02-2021;Champagne;Spiritueux;Champagne Mailly Grand Cru Intemporelle 2010;A l’œil, la robe brillante séduit par sa belle couleur jaune dorée agrémentée d’une effervescence fine et régulière. Au nez, s’associent avec élégance des notes fruitées, florales et minérales. Les arômes d’agrumes, pêches, poire, blé mûr et fleurs blanches se développent sur un fond de notes minérales, crayeuses et légèrement briochées. En bouche, l’attaque onctueuse et déliée s’illustre avec une fraicheur tempérée par une vinosité équilibrée. Elle laisse place avec délicatesse à une saveur de fruit mûr et gourmand. Les arômes de mirabelle et d’agrumes se fondent alors dans une parfaite harmonie offrant au vin saveur et persistance.;75cl;publish;closed;closed;champagne-mailly-grand-cru-intemporelle-2010;26-08-2023;26-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=1366;product;2
1662;0;0;0;;2;13-02-2021;13-02-2021;Champagne;Spiritueux;Champagne Gosset Grand Rosé;"""Le nez exprime sans détour la fraise, dans sa forme fraîche comme dans celle de confiture ou de fruits cuits. La bouche est structurée tout en étant dans cette constante d’équilibre entre tension de fraîcheur et rondeur de fruité. Elle est dominée par le pulpeux du fruit rouge telle la fraise des bois (crème ou coulis) procurant une sensation douce et enrobante. Un champagne d’apparence accessible et simple dans sa jeunesse mais dont la maturation conservera voire intensifiera la beauté.<a id=""""eztoc494_0_3"""" name=""""eztoc494_0_3""""></a>""";75cl;publish;closed;closed;champagne-gosset-grand-rose;14-08-2023;14-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=1662;product;0
2179;0;0;1;4,7;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Quetsch d'Alsace Réserve Particulière;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-quetsch-dalsace-reserve-particuliere;16-10-2021;16-10-2021;0;https://www.bottle-neck.fr/?post_type=product&#038:p=2179;product;1
2361;0;0;3;4;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Framboise d'Alsace;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-framboise-dalsace;15-08-2022;15-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=2361;product;3
2534;0;0;0;;2;14-04-2022;14-04-2022;Vin;Vin;Marcel Windholtz Eau de Vie de Fraise;"""Les eaux de vie naissent d'une subtile alchimie où deux éléments fondamentaux se conjuguent pour que la réussite soit présente au creux de votre verre à dégustation... D'abord on ne s'improvise pas distillateur: chez les Windholtz ce sont trois  générations qui ont accumulé le plein d'expérience dans l'art subtil de """"séparer par la chaleur les principes fixes et volatiles"""". Ensuite entre moûts et alambic au long col, au milieu des vapeurs, c'est le savoir-faire qui préside à la transmutation mystérieuse et réfléchie destinées à sublimer et à faire chanter les fruits...""";70cl;publish;closed;closed;marcel-windholtz-eau-de-vie-de-fraise;21-08-2022;21-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=2534;product;0
3383;0;0;2;4,2;2;01-09-2022;01-09-2022;Vin;Vin;Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2020;Grâce à ses arômes de gazon fraîchement coupé, de pamplemousse, de pêche et de melon, le sauvignon blanc de Kim Crawford est le blanc préféré des Québécois! Il provient de la région de Marlborough, en Nouvelle-Zélande, reconnue pour ses sauvignons blancs aux parfums exubérants qui ne laissent personne indifférent. Sa bouche est fruitée, vive et possède quelques grammes de sucre résiduel qui charment le palais en finale.;75cl;publish;closed;closed;nouvelle-zelande-marlborough-kim-crawford-sauvignon-blanc-2020;24-04-2022;24-04-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=3383;product;2
3506;0;0;3;4;2;22-03-2020;22-03-2020;Cognac;Spiritueux;Cognac Frapin VSOP;Ce VSOP à tout d'un grand cognac. Il a bénéficié des meilleures conditions d'élaboration et de vieillissement. Il révèle une grande richesse aromatique, un équilibre harmonieux et une longueur en bouche exceptionnelle.;70cl;publish;closed;closed;cognac-frapin-vsop;04-08-2022;04-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=3506;product;3
3507;0;0;2;3,1;2;22-03-2020;22-03-2020;Cognac;Spiritueux;Cognac Frapin Château de Fontpinot XO;"""Exclusivement vendangé, distillé, vieilli et mis en bouteille numérotées au Château familial, ce cognac Grande Champagne revendique l'appellation """"Château"""" qui lui confère sa rareté. Cette très vieille réserve du Château doit sa maturité exceptionnelle de 41° et sa qualité à un long vieillissement en chais secs. Son bouquet floral est dû à une distillation sur lies qui lui apporte élégance, finesse et persistance des arômes.""";70cl;publish;closed;closed;cognac-frapin-fontpinot-xo;12-08-2022;12-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=3507;product;2
3509;0;0;0;;2;22-03-2020;22-03-2020;Cognac;Spiritueux;Cognac Frapin Cigar Blend;Ce cognac bénéficie d'un vieillissement plus long en fûts neufs, lui donnant un goût légèrement plus corsé. De couleur acajou ambré, son vieillissement lui confère un bouquet très tannique (vanille) mêlé aux notes de Porto et de fruits confits (miel et épices), caractéristiques d'une longue maturation. Charpenté, ce cognac se distingue des autres par sa forte personnalité, mais il reste long et équilibré.;70cl;publish;closed;closed;cognac-frapin-cigar-blend;04-07-2022;04-07-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=3509;product;0
3510;0;0;1;3,5;2;22-03-2020;22-03-2020;Cognac;Spiritueux;Cognac Frapin VIP XO;La cuvée VIP XO à été enrichie d’eaux-de-vie très anciennes, allie âge, rondeur, bouquet et finesse. Ce sont les vieilles réserves de la famille FRAPIN. Au nez le VIP XO se distingue par d’agréables notes florales et une belle complexité aromatique ponctuée de subtiles touches boisées. Un ensemble élégant typique des vieux Cognacs de Grande Champagne.  Après la délicatesse olfactive, la puissance en bouche surprend le dégustateur. Il offre un florilège de saveurs, révélant tour à tour des notes chocolatées, de fruits secs, de fruits confits, de pain d’épices… l’expression est sophistiquée, complexe, profonde, sans jamais perdre la fraîcheur originelle du fruit. Composé avec la précision d’un sonnet, le VIP XO est une ode à la passion de la création et du goût.;70cl;publish;closed;closed;cognac-frapin-vip-xo;22-08-2022;22-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=3510;product;1
3568;0;0;6;4,3;2;19-04-2022;19-04-2022;Vin;Vin;Emile Boeckel Crémant Brut Rosé;Un crémant à base de pinot noir, vin pétillant vif et délicat. Bulles fines.;75cl;publish;closed;closed;emile-boeckel-cremant-brut-rose;24-08-2022;24-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=3568;product;6
4679;0;0;1;3,4;2;01-03-2021;01-03-2021;Champagne;Spiritueux;Champagne Mailly Grand Cru Les Echansons 2007;Ce vin s'habille d'une parure festive : un or lumineux aux reflets ambrés s'anime d'une effervescence passionnée et d'un cordon de mousse persistant. Au nez, une sensation de profondeur et de raffinement apparait : le vin dévoile de précieux arômes de fruits parfaitement mûrs (poire, mirabelle) et confits (citron, mandarine) fondus dans de délicates notes d'amandes, de viennoiserie, de miel et de caramel.En bouche, les saveurs de fruits se prolongent délicieusement et soulignent l'étoffe dense et étirée du vin. Dans un équilibre de fraicheur et d'ampleur, les notes beurrées, épicées s'épanouissent avec subtilité donnant à l'ensemble un parfum de grande maturité. La persistante note minérale, comme une évidence et telle une signature, prolonge le trait et accentue l'éclat et la pureté de ce vin.</blockquote>;75cl;publish;closed;closed;champagne-mailly-grand-cru-les-echansons-2007;08-07-2023;08-07-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=4679;product;1
5646;0;0;5;4,3;2;18-04-2022;18-04-2022;Vin;Vin;Domaine Muré Crémant d'Alsace Cuvée Prestige;Chapelet de mousse persistant autour du verre. Nez ouvert, frais, élégant, très prononcé et vineux. En bouche, le vin est vif mais agréable à boire et se distingue par une finesse remarquable, finale de fraîcheur, arômes persistants de fruits à chair blanche du type poire ou pomme Granny.;75cl;publish;closed;closed;domaine-mure-cremant-dalsace-cuvee-prestige;22-08-2022;22-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=5646;product;5
6616;0;0;0;;2;20-02-2022;20-02-2022;Vin;Vin;Domaine Huet Vouvray Le Clos du Bourg Moelleux Première Trie 2008;D’une robe claire et brillante, les larmes de ce moelleux sont grasses et onctueuses, révélant une belle sucrosité. Son bouquet de cire, de laine et de foin est caractéristique du Chenin. La texture en bouche est dense, des saveurs primaires de fruits juteux et de Granny Smith dominent.;75cl;publish;closed;closed;domaine-huet-vouvray-le-clos-du-bourg-moelleux-1ere-trie-2008;25-07-2022;25-07-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=6616;product;0
7032;0;0;0;;2;26-07-2021;26-07-2021;Vin;Vin;Planeta Sicilia Passito di Noto 2016;Obtenu à partir de Moscato Sicilien, la vendange à maturité avancée passe ensuite une quarantaine de jours en petites caisses dans une cave ventilée, pendant lesquels le raisin va perdre l'essentiel de son eau, environ 40% de sa masse totale. C'est ainsi que la vinification se fera sur une base très concentrée en fruit et en sucre. Ce vin de dessert développe des arômes explosifs de fruits exotiques, de jasmin et d'agrumes confits.;50cl;publish;closed;closed;planeta-sicilia-passito-di-noto-2016;27-06-2022;27-06-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=7032;product;0
7033;0;0;0;;2;13-03-2023;13-03-2023;Huile d'olive;Huile;Huile d'Olive Extra Vierge Planeta Selezione Chef 3L;Récoltées entre le 15 octobre et le 30 novembre à la main, ces olives typiques de la région d'Agrigento en Sicile donnent une huile extra vierge de grande qualité.;300cl;publish;closed;closed;huile-olive-planeta-3l;27-08-2023;27-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=7033;product;0
7086;0;0;3;4,5;2;13-02-2021;13-02-2021;Champagne;Spiritueux;Champagne Mailly Grand Cru Intemporelle Rosé 2009;Au regard, la robe d’un rose saumoné clair et tendre enchante par ses reflets orangés qui illuminent un fin chapelet de bulles. Un nez fin et subtil évoque un savoureux mariage entre arômes de fraise des bois, framboise, brugnon, poire, amande et froment. La bouche confirme les promesses de ce vin. Harmonie, justesse et éclat naissent dans un jeu de contrastes rare et magique : les fruits rouges côtoient les fruits blancs et les agrumes. La concentration s’affirme dans la finesse. Le charnu s’allie à la minéralité. La puissance se mêle à la tendresse et le soyeux se déroule en finale dans une éclatante pureté.;75cl;publish;closed;closed;champagne-mailly-grand-cru-intemporelle-rose-2009;20-08-2023;20-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=7086;product;3
7818;0;0;0;;2;01-03-2021;01-03-2021;Champagne;Spiritueux;Champagne Gosset Grand Blanc de Blancs;La bulle fine et presente se dirige vers la surface avec legerete. La robe est d’une nuance doree assez pale. Le nez a la fois mineral et floral revele des aromes de fleurs, de fruits blancs, d’abricot, de mirabelles, et, en touches tres legeres, des notes de citron jaune acidule, d’agrumes, de pate de coing, de miel doux et d’anis. En bouche, on est seduit par l’expression iodee et saline propre au terroir champenois. Les fleurs blanches se melent a des fragrances legerement toastees. Touche soyeux et palais harmonieux pour ce champagne vif et structure.;75cl;publish;closed;closed;champagne-gosset-grand-blanc-de-blanc;12-08-2023;12-08-2023;0;https://www.bottle-neck.fr/?post_type=product&#038:p=7818;product;0
7819;0;0;0;;2;22-03-2020;22-03-2020;Cognac;Spiritueux;Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age;Eau-de-Vie distillée à partir de raisins de Grande Champagne, premier cru de la région de Cognac, récoltés exclusivement au Château de Fontpinot en 1989, année la plus chaude de la décennie.. Un Cognac vanillé, tout en rondeur et puissance avec un final très prononcé de fruits confits avec des notes très légèrement poivrées.;70cl;publish;closed;closed;cognac-frapin-chateau-de-fontpinot-1989-20-ans;14-03-2022;14-03-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=7819;product;0
8193;0;0;3;3,2;2;04-03-2022;04-03-2022;Vin;Vin;Emile Boeckel Crémant Chardonnay Extra Brut 2016;Ce Crémant est vif et délicat, se et  racé. Très typé chardonnay et tout en élégance.;75cl;publish;closed;closed;emile-boeckel-cremant-chardonnay-extra-brut-2016;22-08-2022;22-08-2022;0;https://www.bottle-neck.fr/?post_type=product&#038:p=8193;product;3
