id_client;sexe;metier;employeur;revenus;nombre_enfants;type_vehicule;age_vehicule;points_perdus;formule;date_demande;Id_Random;Intervalle_Revenu;Ville;Enfants en charge
871024631;F;animateur du patrimoine;Poirier;125301;1;Sports Car;7.0;0;dev_integral;25/02/2022;SI0025776;[100k€, 150k€];Oeyreluy;Oui
7945239;F;préparateur en pharmacie;Lemaître Charles et Fils;50815;1;Minivan;1.0;2;dev_express;24/05/2022;MO0038610;[40k€, 60k€];Coulandon;Oui
713692930;F;électricien installateur installatrice;Fouquet;21204;2;Pickup;4.0;0;dev_express;24/01/2022;CY0048728;[20k€, 40k€];Gréoux-les-Bains;Oui
588888550;F;chargé de veille législative et réglementaire;Perrier;0;0;z_SUV;5.0;3;dev_integral;20/04/2022;NU0054165;Inconnu;Mouans-Sartoux;Non
69165559;M;conseiller pénitentiaire d'insertion et de probation;Carlier;;0;Panel Truck;12.0;2;dev_vip;23/03/2022;PH0063632;Inconnu;Brive-la-Gaillarde;Non
573751437;F;staffeur-ornemaniste;Coste;79606;1;z_SUV;15.0;2;dev_premium;23/03/2022;VJ0078665;[60k€, 100k€];Ronchamp;Oui
294816298;F;technicien électrotechnicien électrotechnicienne;Laurent;130540;2;Minivan;9.0;0;dev_express;13/03/2022;IC0087553;[100k€, 150k€];Nevers;Oui
686791659;M;gestionnaire de patrimoine;Martinez Bourdon S.A.;51278;0;z_SUV;10.0;1;dev_premium;09/03/2022;OE0097548;[40k€, 60k€];Frontenex;Non
866093378;M;officier de gendarmerie;Techer;115044;0;Minivan;14.0;0;dev_premium;29/01/2022;DT0109234;[100k€, 150k€];Saint-Gilles;Non
401200262;F;peintre en bâtiment;Schmitt;;0;Panel Truck;10.0;1;dev_integral;26/03/2022;ZZ0119147;Inconnu;Foulayronnes;Non
926073051;F;intégrateur web;Riou;24060;2;Minivan;10.0;0;dev_express;26/05/2022;OZ0124983;[20k€, 40k€];Seyne-sur-Mer;Oui
45830738;M;coordonnateur d'études cliniques;Devaux;20822;4;z_SUV;1.0;0;dev_premium;27/01/2022;GK0135689;[20k€, 40k€];null;Oui
429992959;F;chargé de clientèle banque;Leclercq;74426;0;z_SUV;18.0;0;dev_express;08/05/2022;WR0141487;[60k€, 100k€];Dun-le-Palestel;Non
46606719;M;audioprothésiste;Mathieu;0;0;Van;6.0;5;dev_integral;02/05/2022;BR0153017;Inconnu;Aix-en-Provence;Non
389315422;M;ingénieur opticien opticienne;Blanchard Royer SA;38042;1;Minivan;1.0;0;dev_integral;15/04/2022;NQ0166631;[20k€, 40k€];Morschwiller-le-Bas;Oui
184578161;M;accompagnateur de tourisme équestre;Merle;45787;0;Minivan;13.0;0;dev_express;11/05/2022;KL0177388;[40k€, 60k€];Castres;Non
765577228;F;conseiller en fusions-acquisitions;Hamon Lebreton S.A.;108152;0;z_SUV;15.0;0;dev_integral;12/04/2022;IQ0182099;[100k€, 150k€];Paris;Non
106556153;F;hydrogéologue;Fournier;53244;0;Van;8.0;1;dev_express;04/03/2022;CK0192627;[40k€, 60k€];Saint-Cyr-l'École;Non
351243985;F;toiletteur d'animaux;Richard;76954;0;Minivan;11.0;0;dev_express;05/02/2022;NU0206566;[60k€, 100k€];Fosses;Non
243016778;F;charpentier métallique;Bernard Barthelemy S.A.;43290;0;z_SUV;10.0;0;dev_integral;25/04/2022;MW0214115;[40k€, 60k€];Dignac;Non
411375726;M;anatomiste;Pires;67278;1;Minivan;16.0;0;dev_express;20/03/2022;YP0225816;[60k€, 100k€];Monceau-le-Neuf-et-Faucouzy;Oui
747049542;M;designer industriel industrielle;Guichard;29431;3;Minivan;;1;dev_premium;27/03/2022;SP0234516;[20k€, 40k€];Villeurbanne;Oui
582086109;F;chargé des relations publiques;Vaillant Legrand et Fils;;0;Van;7.0;0;dev_premium;16/05/2022;XP0249958;Inconnu;Cahors;Non
93412915;F;animateur nature nature;Menard Lemaître SA;48184;3;Sports Car;1.0;5;dev_premium;06/02/2022;QD0251298;[40k€, 60k€];Mérignac;Oui
461573915;M;ingénieur réservoir;Muller S.A.S.;22059;0;Pickup;1.0;1;dev_express;27/04/2022;MB0264592;[20k€, 40k€];Pierrefitte-sur-Seine;Non
